"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1854741631234457874","Sun Nov 10 23:55:03 +0000 2024","0","@glavosl mau dengerin asing pake sound horeg pada ngamuk gak ya nanti?","1855761115701248359","","glavosl","in","Rasha B.","0","1","0","https://x.com/brokenmeowdies/status/1855761115701248359","130658158","brokenmeowdies"
"1855620089271431574","Sun Nov 10 23:27:27 +0000 2024","0","@meutiafaradilla Kenapa sih banyak orang bodoh tapi bicara agama ngalah2in sound horeg?","1855754172571988171","","meutiafaradilla","in","","0","0","0","https://x.com/kucingtelorasin/status/1855754172571988171","1774066448295694337","kucingtelorasin"
"1855741599780843584","Sun Nov 10 22:49:03 +0000 2024","0","@boezun Info ngantemi sound horeg","1855744507473760748","","boezun","in","","0","1","0","https://x.com/yukkicart/status/1855744507473760748","1492155550339330049","yukkicart"
"1855741599780843584","Sun Nov 10 22:37:30 +0000 2024","0","Sebenernya visi misi dan tujuan ngeplay sound horeg pagi pagi tuh apa yaaa","1855741599780843584","","","in"," Bara's","0","1","0","https://x.com/boezun/status/1855741599780843584","1304911296492527616","boezun"
"1855674291880407219","Sun Nov 10 21:24:24 +0000 2024","0","@elcuomoo indonesia kudu maju heula ai sia palistine merdeka sound horeg eweuh bola ubi jadi makanan internasional gta kudu aya 10. Baru skate 4 keluar announcement nya...","1855723203378979252","","elcuomoo","in","","0","0","0","https://x.com/tepungberas33/status/1855723203378979252","1150223204285206528","tepungberas33"
"1855225889463931078","Sun Nov 10 19:36:57 +0000 2024","0","@comstelation i feel u kak pernah kerja ber 5 aku cewe sendiri mereka klo nge jokes bahasannya selalu merendahkan wanita dan catcall anak smp udah aku tegur secara ngelawak soalnya klo ditegurnya serius aku blum se berani itu ","1855696165695787210","","comstelation","in","","0","0","0","https://x.com/90s_rightt/status/1855696165695787210","1819991791367802880","90s_rightt"
"1855401226873286669","Sun Nov 10 18:10:02 +0000 2024","0","@Boediantar4 sepertinya para pemuja sound horeg pada sakit jiwa","1855674290441757100","","Boediantar4","in","Bumi Datar, Bulat, Terserah","0","0","0","https://x.com/RAryaBaribin/status/1855674290441757100","521239026","RAryaBaribin"
"1855651300534563050","Sun Nov 10 16:38:41 +0000 2024","0","Ini alasan kita ketolak workdol dia nyarinya pekerja dengan mimpi dan cita cita yg serius bukan biduan sound horeg. Pham? ","1855651300534563050","","","in","","0","2","0","https://x.com/supeu/status/1855651300534563050","1300604193065955328","supeu"
"1855643432578146620","Sun Nov 10 16:12:24 +0000 2024","0","@BeatitudeFair request diucapin pake sound horeg dan makan siang gratis yah","1855644686553424363","","BeatitudeFair","in","𐙚  STAYC IV/VI .. 2003 ₊⊹","0","1","0","https://x.com/smeun/status/1855644686553424363","378017048","smeun"
"1855642086844051547","Sun Nov 10 16:02:04 +0000 2024","0","Legend sih ini Jadi keingat tetangga gue yg tiap hari karokean segede sound horeg playlistnya tuh mostly dangdut terus ini doang lagu pop yang nyempil","1855642086844051547","","","in","","0","0","0","https://x.com/biskybiskuit/status/1855642086844051547","1614711600300306432","biskybiskuit"
"1834091474381926823","Sun Nov 10 15:46:11 +0000 2024","0","@enamci @ningnwng FUKKK AKWKWKWKW GAKUAT GUE BACANYA sound horeg dua truk cukup ga ya kira kira??","1855638091018719265","","enamci","in","La Revista  ","0","0","0","https://x.com/zddeonu/status/1855638091018719265","830680216619978752","zddeonu"
"1855589612653330862","Sun Nov 10 15:19:20 +0000 2024","0","@JubeBellingham @Anak__Ogi @BocorAlusPol Gue udah enek BP .. dia emang pengkhianat yg bikin ganjar KO","1855631333823025623","","JubeBellingham","in","","0","1","0","https://x.com/zeldasukma/status/1855631333823025623","1845993726877093891","zeldasukma"
"1855558875807641661","Sun Nov 10 15:10:30 +0000 2024","0","@arjanisu @AirinDatangLagi Udah ndhak percaya BP bau2 mulyono nih orang pengkhianat ganjar","1855629112184041829","","arjanisu","in","","0","2","0","https://x.com/zeldasukma/status/1855629112184041829","1845993726877093891","zeldasukma"
"1855589612653330862","Sun Nov 10 15:06:21 +0000 2024","0","@Anak__Ogi Ngga percaya pacul lagi... bau2 mulyono","1855628064035873239","","Anak__Ogi","in","","0","1","0","https://x.com/zeldasukma/status/1855628064035873239","1845993726877093891","zeldasukma"
"1855586941888328189","Sun Nov 10 15:03:08 +0000 2024","0","@WagimanDeep212_ Ga percoyo lah.. wong kemarin2 aja ga mau jadi timses kok... alesan sibuk di dpr..","1855627258545017280","","WagimanDeep212_","in","","0","1","0","https://x.com/zeldasukma/status/1855627258545017280","1845993726877093891","zeldasukma"
"1855565952508916093","Sun Nov 10 15:01:52 +0000 2024","1","@demokrasi_ruwet @ahmad_bellamy @AndikaPerkasa02 @hendrarprihadi @PDI_Perjuangan @AirinDatangLagi @4Y4NKZ @__AnakKolong @ariestarico2 @AntoniusCDN @antartika9821 @Anak__Ogi @b4yuw @Cintada16 BP bukan timses andika","1855626936367919412","","demokrasi_ruwet","in","","0","1","0","https://x.com/zeldasukma/status/1855626936367919412","1845993726877093891","zeldasukma"
"1855414431804751892","Sun Nov 10 13:09:43 +0000 2024","0","@La221200_ yaa untungnya di daerah jateng DIY gaada sound horeg tapi adanya geng motor rx yg kualami sore ini","1855598712707567643","","La221200_","in","profile, commiss, portolio👉","0","1","0","https://x.com/azpyxia/status/1855598712707567643","1033638924982206466","azpyxia"
"1855596445912695012","Sun Nov 10 13:00:42 +0000 2024","0","Ribuan Massa Sambut Meriah Kedatangan Mas Dhito di Aksi Battle Sound Horeg Kediri https://t.co/IWlEdDbght","1855596445912695012","","","in","Jember","0","0","0","https://x.com/BangsaPedia/status/1855596445912695012","1634467337595387906","BangsaPedia"
"1855596371421937664","Sun Nov 10 13:00:24 +0000 2024","0","@Gerindra @DPR_RI min aku muak sama sound horeg bisa ga dibuat undang2 agar tidak diperbolehkan penggunaan sound horeg sembarangan Plis banget","1855596371421937664","","Gerindra","in","","0","0","0","https://x.com/gemoibetol/status/1855596371421937664","1559352422064984064","gemoibetol"
"1855568477953671346","Sun Nov 10 12:55:59 +0000 2024","5","@M45Broo_ Begitulah klo kelasnya seperti sound horeg","1855595259893518388","","M45Broo_","in","Jakarta","0","0","0","https://x.com/kimimaki/status/1855595259893518388","32330659","kimimaki"
"1855584796652826835","Sun Nov 10 12:14:28 +0000 2024","0","kalo aku punya sound horeg terus aku puterin lagu-lagu berisik skz hehe bisa bikin geter rumah tetangga yang rese wkwk","1855584809566851209","","shilaviox","in","Greece","0","0","0","https://x.com/shilaviox/status/1855584809566851209","2727980801","shilaviox"
"1855580972462612612","Sun Nov 10 11:59:13 +0000 2024","0","manifesting nikah tanpa sound horeg","1855580972462612612","","","in","krusty crab","0","0","0","https://x.com/faraalf_/status/1855580972462612612","1088980693508448257","faraalf_"
"1855414431804751892","Sun Nov 10 11:55:28 +0000 2024","0","@azpyxia tapi untungnya speaker mesjid coba kalau sound horeg ","1855580029545222539","","azpyxia","in","Hati Tobirama","0","1","0","https://x.com/La221200_/status/1855580029545222539","1191370039561056256","La221200_"
"1855409395053859092","Sun Nov 10 11:53:12 +0000 2024","0","@Txtmlbb yg kemaren vote ini semoga jaringan kalian ilang2 an pas pusrenk","1855579459744907448","","Txtmlbb","in","","0","0","0","https://x.com/90s_rightt/status/1855579459744907448","1819991791367802880","90s_rightt"
"1855232680977117224","Sun Nov 10 11:51:14 +0000 2024","0","@mlbbfess pgn ambil benet tpi gabisa makenya ","1855578964716396845","","mlbbfess","in","","0","0","0","https://x.com/90s_rightt/status/1855578964716396845","1819991791367802880","90s_rightt"
"1855173726582845672","Sun Nov 10 11:50:30 +0000 2024","0","@wavefr0mheaven @juykuz ini beneran kah??? kocak bgt jir","1855578777742696948","","wavefr0mheaven","in","","0","0","0","https://x.com/90s_rightt/status/1855578777742696948","1819991791367802880","90s_rightt"
"1855577508449857804","Sun Nov 10 11:45:27 +0000 2024","109","akhirnya saya jadi sarjana sound system horeg ato kalo kata temen2 gw jd tukang servis ac soalnya klo ac mulai bunyi panggil mas audio engineer buat benerin https://t.co/G7jydZDEZn","1855577508449857804","https://pbs.twimg.com/media/GcBVGseaEAAA91l.jpg","","in","Bi | Isle Of Man TT","0","17","3","https://x.com/proggerino/status/1855577508449857804","1816942352","proggerino"
"1855576875319615854","Sun Nov 10 11:42:56 +0000 2024","0","Mas Dhito Janjikan Regulasi untuk Kegiatan Battle Sound Horeg di Kediri https://t.co/j2sSuUGJxM","1855576875319615854","","","in","","0","0","0","https://x.com/ibenewsid/status/1855576875319615854","1499977907074383874","ibenewsid"
