"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774254692094402567","Sun Mar 31 04:51:09 +0000 2024","0","@rudestrong @Aldhe_Anz Lagi joget horeg","1774298363405676953","","rudestrong","in","yogyakarta","0","0","0","https://x.com/tomingartun/status/1774298363405676953","55282082","tomingartun"
"1774253671708254227","Sun Mar 31 01:53:34 +0000 2024","0","Setiap aku menyuarakan tentang negatifnya sound horeg aku diserang ","1774253671708254227","","","in","Kediri, Indonesia","0","0","0","https://x.com/itsna_nafiah/status/1774253671708254227","4363359373","itsna_nafiah"
"1774165772803375548","Sat Mar 30 20:10:06 +0000 2024","0","@mellowtotal_ Cinos wi seneni gugah horeg","1774167235587957139","","mellowtotal_","in","SIDOARJO ORA MUNTIR","0","1","0","https://x.com/SuperDeal100/status/1774167235587957139","987621139873546240","SuperDeal100"
"1774163297094496667","Sat Mar 30 19:54:27 +0000 2024","0","Temukan dan dapatkan kit driver socl 506 modif lowsub horeg hanya Rp35.500 - Rp43.500 di Shopee sekarang juga! https://t.co/n5K8EIoJWC #ShopeeID https://t.co/912dPFDGV7","1774163297094496667","https://pbs.twimg.com/media/GJ8YGH1acAAYYGg.jpg","","in","Indonesia","0","0","0","https://x.com/SONYJOS76168099/status/1774163297094496667","1427215105490489348","SONYJOS76168099"
"1774161645570580968","Sat Mar 30 19:47:53 +0000 2024","12","saiki lek nangeni sahur ora klotekan tapi horeg full dj bantengan putra mandala loh iki well","1774161645570580968","","","in","","0","1","0","https://x.com/xxyxzt/status/1774161645570580968","1551238836436365315","xxyxzt"
"1774152441988284815","Sat Mar 30 19:11:18 +0000 2024","0","Nonton Cek Sound Horeg di Sidomukti Mayang Dua Motor Amblas https://t.co/GW3PGdW3TP @PemdaKabJember @SatlantasJember","1774152441988284815","","","in","","0","0","0","https://x.com/banyuwangi_viva/status/1774152441988284815","1610679196921253888","banyuwangi_viva"
"1774058166684414122","Sat Mar 30 12:56:42 +0000 2024","2","aahhh preview epsd 25 keknya belum ketemu ya.. . btw xingzhi worth jadi ancient god tekanannya doang bikin langit horeg. juga katakan aku jahat. tapi aku demen pas mofang diinjek ditonjok dihajar sama shenli . itu nyawa yg jadi korban banyak euy","1774058166684414122","","","in","uban supremacy 🛐 Duan Baiyue dulu, Duan Baiyue lagi, Ye Xuan Kemudian","0","0","2","https://x.com/xiaocuhe/status/1774058166684414122","2190177806","xiaocuhe"
"1773999040541388849","Sat Mar 30 09:01:45 +0000 2024","0","Sound horeg di Jember ganggu istirahat masyarakat sebenarnya bagaimana cara membangunkan sahur yang baik menurut Islam? https://t.co/HI0QSFbkW3","1773999040541388849","","","in","Jember, Jawa Timur","0","0","0","https://x.com/Jember_Network/status/1773999040541388849","1675792740876161024","Jember_Network"
"1773990033193902426","Sat Mar 30 08:25:57 +0000 2024","0","Ngeyel Pakai Sound Horeg untuk Bangunkan Sahur Bisa Terancam Tipiring https://t.co/s6DcIubrCH","1773990033193902426","","","in","Malang, Jawa Timur","0","0","0","https://x.com/tugumalang_id/status/1773990033193902426","535213390","tugumalang_id"
"1773928030135877951","Sat Mar 30 06:22:11 +0000 2024","0","@strike_bravo_b wkwk udah sono solawatan full bass horeg aja drpd ngeribetin org laen yg penting manut dawuhe yai","1773958886439133249","","strike_bravo_b","in","","0","0","0","https://x.com/tempechicken/status/1773958886439133249","318829112","tempechicken"
