text,label
@glavosl mau dengerin asing pake sound horeg pada ngamuk gak ya nanti?,neutral
@meutiafaradilla Kenapa sih banyak orang bodoh tapi bicara agama ngalah2in sound horeg?,negative
@boezun Info ngantemi sound horeg,negative
Sebenernya visi misi dan tujuan ngeplay sound horeg pagi pagi tuh apa yaaa,neutral
@elcuomoo indonesia kudu maju heula ai sia palistine merdeka sound horeg eweuh bola ubi jadi makanan internasional gta kudu aya 10. Baru skate 4 keluar announcement nya...,neutral
@comstelation i feel u kak pernah kerja ber 5 aku cewe sendiri mereka klo nge jokes bahasannya selalu merendahkan wanita dan catcall anak smp udah aku tegur secara ngelawak soalnya klo ditegurnya serius aku blum se berani itu ,negative
@Boediantar4 sepertinya para pemuja sound horeg pada sakit jiwa,negative
Ini alasan kita ketolak workdol dia nyarinya pekerja dengan mimpi dan cita cita yg serius bukan biduan sound horeg. Pham? ,neutral
@BeatitudeFair request diucapin pake sound horeg dan makan siang gratis yah,neutral
Legend sih ini Jadi keingat tetangga gue yg tiap hari karokean segede sound horeg playlistnya tuh mostly dangdut terus ini doang lagu pop yang nyempil,positive
@enamci @ningnwng FUKKK AKWKWKWKW GAKUAT GUE BACANYA sound horeg dua truk cukup ga ya kira kira??,negative
@JubeBellingham @Anak__Ogi @BocorAlusPol Gue udah enek BP .. dia emang pengkhianat yg bikin ganjar KO,negative
@arjanisu @AirinDatangLagi Udah ndhak percaya BP bau2 mulyono nih orang pengkhianat ganjar,negative
@Anak__Ogi Ngga percaya pacul lagi... bau2 mulyono,negative
@WagimanDeep212_ Ga percoyo lah.. wong kemarin2 aja ga mau jadi timses kok... alesan sibuk di dpr..,negative
@demokrasi_ruwet @ahmad_bellamy @AndikaPerkasa02 @hendrarprihadi @PDI_Perjuangan @AirinDatangLagi @4Y4NKZ @__AnakKolong @ariestarico2 @AntoniusCDN @antartika9821 @Anak__Ogi @b4yuw @Cintada16 BP bukan timses andika,neutral
@La221200_ yaa untungnya di daerah jateng DIY gaada sound horeg tapi adanya geng motor rx yg kualami sore ini,neutral
Ribuan Massa Sambut Meriah Kedatangan Mas Dhito di Aksi Battle Sound Horeg Kediri https://t.co/IWlEdDbght,positive
@Gerindra @DPR_RI min aku muak sama sound horeg bisa ga dibuat undang2 agar tidak diperbolehkan penggunaan sound horeg sembarangan Plis banget,negative
@M45Broo_ Begitulah klo kelasnya seperti sound horeg,neutral
kalo aku punya sound horeg terus aku puterin lagu-lagu berisik skz hehe bisa bikin geter rumah tetangga yang rese wkwk,negative
manifesting nikah tanpa sound horeg,neutral
@azpyxia tapi untungnya speaker mesjid coba kalau sound horeg ,negative
@Txtmlbb yg kemaren vote ini semoga jaringan kalian ilang2 an pas pusrenk,negative
@mlbbfess pgn ambil benet tpi gabisa makenya ,neutral
@wavefr0mheaven @juykuz ini beneran kah??? kocak bgt jir,neutral
akhirnya saya jadi sarjana sound system horeg ato kalo kata temen2 gw jd tukang servis ac soalnya klo ac mulai bunyi panggil mas audio engineer buat benerin https://t.co/G7jydZDEZn,positive
Mas Dhito Janjikan Regulasi untuk Kegiatan Battle Sound Horeg di Kediri https://t.co/j2sSuUGJxM,positive
@kimshincan @Jateng_Twit Ojo di enggo gowo sound horeg,neutral
@stewpidcat__ Gak ngejar paling km diikat trus dipaksa denger WaE kUrA cHi MoLlA aAeAaAa pake sound horeg,negative
@merapi_uncover Gak beda jauh sama fenomena sound horeg. Sama-sama sampah ,negative
Di kanal Youtube banyak streaming instrumen bermacam alat musik yang memanjakan telinga kok ya ada yang milih menikmati sound horeg,negative
Berusaha memahami: Kenapa ada orang² yg suka sama sound horeg sama knalpot brong musik² DJ yg berisik petasan besar dan mereka yg se-olah² ingin menjadi yang paling keras: Mungkin mungkin ya karena mereka sebenarnya selama ini hanya ingin bersuara ketika ditekan sejak,neutral
Tadi nemu tweet blg bayi nangis semaleman ortunya gak nenangin jadi sendernya pasang sound kenceng buat ngebales. Terus reply2nya nyuruh pasang sound horeg sekalian. Mereka gatau ya bayi itu dipakein baju aja bisa nangis dan ditenangin jg blm tentu lgsg diem? Smh,negative
@Amartya_Seen Narasi asli video: Tanya: tau gak kemaren City kalah? Jawab: ha? Kagak. Taunya liverpool menang T: iya kalah lawan Brighton tim yg liverpool kalahin sebelumnya J: wayahe joget2 sound horeg,neutral
@Boediantar4 Aliran sound horeg nih?,neutral
@jagatdraya yoii kalah sound horeg,neutral
Info sound horeg terdekat Test Mocap video Mayan mulus tinggal bersihin dikit wkwkkw https://t.co/5KWE5N5weK,positive
@MS_NOBODY_REAL Kira kira SOUND HOREG ada yang berani ngebacok gak ya wkwkw,negative
@jackaeryz @ngeemtot BERANI BGT ANJING WKWKKWWKWK ,negative
@tesfayeeabell @Arayooniverse @ngeemtot @aimr0d ANJINGGG AWOKAWOKQOWK,negative
@onneoctavia sad :( kene daerah barat hujan masih bress terus 10 menit terang tp wes lumayan emang jatim kayak e masih kenek azab sound horeg :(,negative
@puwwlen Sound horeg punya biduan?,neutral
Kru musik horeg berdebat dengan warga tdk mau mengecilkan suara volume Sound horeg pada saat azan https://t.co/urTzDCkkjb,negative
Kok qrt pada marah2?? Meninggal loh cok lo gak pernah berduka kah? Buset dah orang bilang wajar nangis malah lo plitir sana sini kalo gendernya dibalik kalo udah mantan harusnya gk nangis kalo lo pada aja yg mati gimana su? Mati gih gw sewain sound horeg,negative
Oh begini rasanya jadi warga yang rumahnya dilewatin sama sound horeg dan rumahnya sampe geter wkwkwkw,neutral
fyp tiktod gw isinya biduan sound horeg mulu udah saatnya gw daftar.,positive
Normalize sound horeg menyuarakan adzan salawat nabi dan anak-anak/ibu-ibu mengaji di daerah-daerah yang sedikit masjidnya. Supaya kecintaan pada Islam makin bertumbuh ️,positive
hipokrit momentos ak di twt plg banter nolak sound horeg irl malah ngebantu jualin tiket sound horeg ,negative
@PopPanda007 Suruh manggung di pantura aja tuh panggung auto full besi+kuat tambahan sound horeg jangan lupa bakal meledak konser nya,positive
@tanyarlfes Yay lah sambil bawa sound horeg,positive
@tanyarlfes tambah sound horeg diblakang nder,neutral
setelah sekian lama tidak menghadapi orang tua wanyik ndredeg e koyok sound horeg,neutral
Lagi tidur siang enak enak malah ada suara sound system horeg bgst mana kasur gua sampe geter lagi,negative
@mofroe masih aja itu sound horeg wkwk,neutral
Eh serius mau tanya laporin tetangga yg tiap hari dari jam 10 pagi sampe maghrib nyetel horeg ke rt bakal digubris ga? Jujur udah d tahap muak banget mau fokus tenang buat zoom malah ga denger gara2 sound horeg tetangga meskipun udah full volume speaker tetep ga dengerr,negative
@hayesnophile Kak sound horeg lucu banget ,positive
Harusnya garap pas ada acara Sound Horeg ya https://t.co/hcV12nipop,neutral
bangsat siang2 ada sound horeg njir,negative
@reverbnodens @merapi_uncover Rx king bukan budaya ya itu komunitas beda sama sound horeg,negative
@M45Broo_ Sejutune ngeporrrrtr,neutral
Sound horeg apa rx king?! Mana jagoanmu?,neutral
bayangin km ke pantai buat cari ketenangan tp tbtb ada truk datang alias sound horeg anjeng brisikkkk,negative
@merapi_uncover jawa timur ono sound horeg jawa tengah ono jambore rx king enjoy Indonesia cemas 2045,neutral
@HDN_sol Merapat ke kang sound horeg terdekat,positive
@excoept mereka tau sound horeg gak ya? takut banget nanti tiba2 muter lagu kopi dangdut pake sound horeg,neutral
@naeireumeunflo Ku mending denger sound horeg sih,positive
@dkpancici msi mending apt tetanggaku nyetel sound horeg pke speker gede2 plus tingkat 3,negative
Kentot gw baru tidur jam set 6 pagi kebangun pagi lagi Gegara tetangga play music di speaker berasa di bangunin sound horeg gak bisa bobo lagi ,negative
@convomf gue panggilin sound horeg sih biar dia ngeDJ di atas sound,positive
@MansionN1703 @reyvanGali @ilhampurnama887 Itu masjid apa sound horeg?,neutral
@idextratime Klub kecil gak ada fansnya kalo kalah. Tapi kalo menang beeeuhh kaya sound horeg.,neutral
Pilih mana dengerin sound horeg atau MBV live performance?,neutral
@Atuung95 Itu juga kalo nyokap lagi berbenah piring sendok beradu berisik banget kek sound horeg ,neutral
*lagi liburan ke malang* Tenang banget tata kotanya rapih gak terlalu macet nyaman pengen tinggal di sini deh kayaknya *tiba2 inget sound horeg jatim* Noooo ,negative
Kalo udah rilis ingetin aku buat nyetel nasa pake sound horeg supaya seluruh dunia tau kalau suara oh sion se candu itu,positive
Bayangin yah dari subuh aku udah disuguhi suara dari sound horeg yang menggelegar itu Sabaaarrr gak boleh marah ,neutral
Sumpahh pengen tak musnahkan ae iki sound horeg,negative
@Bambangmulyonoo @PDI_Perjuangan Jangan sakiti hati rakyat... rakyat akan melawan,neutral
@Jateng_Twit Andika perkasa sudah memenangkan hati rakyat no lungli2 no tilang2 yesss,positive
@IOS641990 @AirinDatangLagi @AndikaPerkasa02 @hendrarprihadi Memang pengkhianat !!!,negative
@AirinDatangLagi @AndikaPerkasa02 @hendrarprihadi Terungkap kan.. kenapa pak ganjar sampai kalah ??? Pengkhianatan dari dalam,negative
@renjbun Gue lah si NCTZEN itu guncang pakai sound horeg ya njun,positive
@andmeyylife @malascucipiring Mey kamu kenapa mey gegara sound horeg kah menjadi tidak fokus,neutral
