,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
125,1855604606925205767,Mon Nov 11 04:29:38 +0000 2024,0,@kentangsaladd ini nge dj nya gk pake sound horeg kan,1855830219191681397,,kentangsaladd,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/karlininae/status/1855830219191681397,1732514898129907712,karlininae
126,1855825015444591021,Mon Nov 11 04:28:38 +0000 2024,1,@AndyHuskyyy OH JADI MAKSUD KAMU PENYELENGGARA SOUND HOREG ITU NGERUSAK FASILITAS UMUM? SHERLOC TAK SUSONI ,1855829965817987582,,AndyHuskyyy,in,,0,1,0,https://x.com/adipatidelcont/status/1855829965817987582,1318154298270740481,adipatidelcont
127,1855803345879101513,Mon Nov 11 04:22:23 +0000 2024,0,@Depokalypse Gw lagi mikir set besok rnb sedih ciuman atau berisik ala ala maxstep sound horeg,1855828392639361367,,Depokalypse,in,kentut,0,1,0,https://x.com/bankzoup/status/1855828392639361367,1420118921974149122,bankzoup
128,1855822617929982135,Mon Nov 11 03:59:26 +0000 2024,0,tapi jujur lagu indo jaman dulu tuh enak2 njir ikonik semua huuu jadi kangen karaokean bareng tetangga pake sound horeg wkwk,1855822617929982135,,,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/powerful_breeze/status/1855822617929982135,923103704,powerful_breeze
129,1855822241856094477,Mon Nov 11 03:57:56 +0000 2024,5,Makanya kita harus pakai sound horeg untuk buat orang-orang ini terbiasa dengan adzan masjid,1855822241856094477,,,in,,1,2,2,https://x.com/swetnam_joseph/status/1855822241856094477,1759598179992084480,swetnam_joseph
130,1855820533616738470,Mon Nov 11 03:57:05 +0000 2024,3,@islah_bahrawi Ikutan trend sound horeg... Menggelegar dan bikin rusak sekampung,1855822027963416722,,islah_bahrawi,in,Jakarta,0,1,0,https://x.com/kimimaki/status/1855822027963416722,32330659,kimimaki
131,1855788565197906258,Mon Nov 11 03:53:31 +0000 2024,0,@dewiirawan13 @jokowi Masih ada alm. Ibu waktu itu semoga Husnul Khatimah dengan Mba Ria ...,1855821131242172808,,dewiirawan13,in,,0,0,0,https://x.com/zeldasukma/status/1855821131242172808,1845993726877093891,zeldasukma
132,1855821115332977081,Mon Nov 11 03:53:28 +0000 2024,0,Kalau jawa ada sound horeg Jakarta punya :,1855821115332977081,,,in,,0,0,0,https://x.com/Awto0/status/1855821115332977081,1526840078,Awto0
133,1855800761898475631,Mon Nov 11 03:52:16 +0000 2024,0,@sopir_idiot Ini pasti yang bilang aku orang Jyakarta pas ada Sound horeg,1855820816824565992,,sopir_idiot,in,,0,0,0,https://x.com/pianekek/status/1855820816824565992,1761214257067364352,pianekek
134,1855817779586498999,Mon Nov 11 03:40:12 +0000 2024,0,Mari kita liat statistik: berapa % aktivis sound horeg yg sholatnya berjamaah di masjid?,1855817779586498999,,,in,"Kota Palembang, Sumatera Selat",0,1,1,https://x.com/lupa_mancing/status/1855817779586498999,1757868126975541248,lupa_mancing
135,1855481796491882948,Mon Nov 11 02:34:46 +0000 2024,1,@lacheriebon Sorry kak. Jangan salahin islamnya ya. itu cuma dari grup tertentu. Bahkan aku bingung jg sm mereka. Aslinya gerudug sahur mesjid pake toa kenceng2 selain adzan itu ya ga perlu ga ada kewajiban gitu. Ada kok masjid yg bagus tenang itu mrk org2 yg suka sound horeg,1855801310345621593,,lacheriebon,in,overseas,0,0,1,https://x.com/ciqalbakal/status/1855801310345621593,865225436879388672,ciqalbakal
136,1855777189322739891,Mon Nov 11 02:06:23 +0000 2024,2,@TeddGus Banteng takut kalah makanya BERISIK macem sound horeg sj klian https://t.co/7Hy3HFUxnv,1855794167928283338,,TeddGus,in,Indonesia,0,1,0,https://x.com/awikuchuz/status/1855794167928283338,1792479749853659136,awikuchuz
137,1855651300534563050,Sun Nov 10 16:38:41 +0000 2024,0,Ini alasan kita ketolak workdol dia nyarinya pekerja dengan mimpi dan cita cita yg serius bukan biduan sound horeg. Pham? ,1855651300534563050,,,in,,0,2,0,https://x.com/supeu/status/1855651300534563050,1300604193065955328,supeu
138,1855643432578146620,Sun Nov 10 16:12:24 +0000 2024,0,@BeatitudeFair request diucapin pake sound horeg dan makan siang gratis yah,1855644686553424363,,BeatitudeFair,in,𐙚  STAYC IV/VI .. 2003 ₊⊹,0,1,0,https://x.com/smeun/status/1855644686553424363,378017048,smeun
139,1855642086844051547,Sun Nov 10 16:02:04 +0000 2024,0,Legend sih ini Jadi keingat tetangga gue yg tiap hari karokean segede sound horeg playlistnya tuh mostly dangdut terus ini doang lagu pop yang nyempil,1855642086844051547,,,in,,0,0,0,https://x.com/biskybiskuit/status/1855642086844051547,1614711600300306432,biskybiskuit
140,1855589612653330862,Sun Nov 10 15:19:20 +0000 2024,0,@JubeBellingham @Anak__Ogi @BocorAlusPol Gue udah enek BP .. dia emang pengkhianat yg bikin ganjar KO,1855631333823025623,,JubeBellingham,in,,0,1,0,https://x.com/zeldasukma/status/1855631333823025623,1845993726877093891,zeldasukma
141,1855558875807641661,Sun Nov 10 15:10:30 +0000 2024,0,@arjanisu @AirinDatangLagi Udah ndhak percaya BP bau2 mulyono nih orang pengkhianat ganjar,1855629112184041829,,arjanisu,in,,0,2,0,https://x.com/zeldasukma/status/1855629112184041829,1845993726877093891,zeldasukma
142,1855589612653330862,Sun Nov 10 15:06:21 +0000 2024,0,@Anak__Ogi Ngga percaya pacul lagi... bau2 mulyono,1855628064035873239,,Anak__Ogi,in,,0,1,0,https://x.com/zeldasukma/status/1855628064035873239,1845993726877093891,zeldasukma
143,1855586941888328189,Sun Nov 10 15:03:08 +0000 2024,0,@WagimanDeep212_ Ga percoyo lah.. wong kemarin2 aja ga mau jadi timses kok... alesan sibuk di dpr..,1855627258545017280,,WagimanDeep212_,in,,0,1,0,https://x.com/zeldasukma/status/1855627258545017280,1845993726877093891,zeldasukma
144,1855565952508916093,Sun Nov 10 15:01:52 +0000 2024,1,@demokrasi_ruwet @ahmad_bellamy @AndikaPerkasa02 @hendrarprihadi @PDI_Perjuangan @AirinDatangLagi @4Y4NKZ @__AnakKolong @ariestarico2 @AntoniusCDN @antartika9821 @Anak__Ogi @b4yuw @Cintada16 BP bukan timses andika,1855626936367919412,,demokrasi_ruwet,in,,0,1,0,https://x.com/zeldasukma/status/1855626936367919412,1845993726877093891,zeldasukma
145,1855565952508916093,Sun Nov 10 15:01:27 +0000 2024,2,@ahmad_bellamy @AndikaPerkasa02 @hendrarprihadi @PDI_Perjuangan @AirinDatangLagi @4Y4NKZ @__AnakKolong @ariestarico2 @AntoniusCDN @antartika9821 @Anak__Ogi @b4yuw @Cintada16 All gimana disuruh jadi timsesnya aja ngga mau kok... katanya sibuk di DPR tapi malah main ke Solo jadi jurkam sebelah,1855626833859145845,,ahmad_bellamy,in,,0,0,0,https://x.com/zeldasukma/status/1855626833859145845,1845993726877093891,zeldasukma
146,1855602679315415302,Sun Nov 10 14:56:57 +0000 2024,0,@pickertolol @NuBraveIN @NvirWorld tinggal nganggo sound horeg ikih nyusul mas gung ,1855625699920617704,,pickertolol,in,in ur heart ♡,0,0,0,https://x.com/afvogat0/status/1855625699920617704,1750314476526874624,afvogat0
