text,label
effek kampanye pake sound horeg fufufafa biarin aja turun kelas amin,neutral
gue tidak pernah baik abang bukan bosen lagi ntuu GUE JUGA LARI KALO ABANG BAWA SOUND HOREG BAAAANGGG PEGIMANE SIII,negative
tidak ka kasian mata elang gitu bagusnya dan mereka emg uda pro itu salah dari pk nya budget buat sound horeg,positive
kaya panggung sound horeg ni pk entertaiment kocag buat malu aja kasian noh vendor banyak yg nyalahin,negative
pesan nya aturan bubarin itu sound horeg,negative
rumah gue ujan deres baaaannnnggggeeetttt+ sound horeg + mati listrik bangsat  sc sc scLnaAfm,negative
Nyeneni adek e kayak ngalah ngalahne sound horeg Tonggone yo di pikir neg bos.cuak,neutral
Temanku awardee iisma cantik bening kayak bidadari spek yalil yalili pacarnya jamet blok m sound horeg,neutral
perut mereka-merak yg nyalain sound horeg apa tidak bergetar jg ya? kan tidak nyaman sangat itu sampe dada pun berasa getar juga,neutral
yg nikahan goblok sangat anj ini pke sound horeg apa ya bgkeeee gede sangat,negative
lamongan tah? walah sound horeg,neutral
Maksudku arek balita sing dijak ndelok karnaval sound horeg karo ortu e iku aman ta gendang telinga e? POV ketika kamu lahir di daerah Jawa Timur,neutral
Bukannya sound horeg sudah hijrah ke laut? jadi sekarang yg komplen itu warga laut,neutral
Terselamatkan ko judi tapi tidak selamat ko sound horeg mottt,negative
wtf geledeke sampe garai genteng omah geter cuk. kayak sound horeg tp ndek dukur umahku,neutral
Leluhur asal usul sound of horeg from ngetan ya gini,negative
Kecuali lu poundfit sekelurahan di tengah jalan tol cipularang pake sound horeg sama stik bedug. Nah itu baru haram soalnya nyusahin orang. Pusing amat. Orang yang niatnya qowiyyul jismi jadi musnah gegara dijulidin.,neutral
Yoi kecewa jg trnyta kang soundnya bukn sound horeg,neutral
Jangan kak sound horeg tuh bakal nyampe ke rumah semua orang yg di deketnya jadi mending jangan. Kasian tetangga yg lain,negative
kamu mau bikin pawai sound horeg dd?? dan itu pake uangku.??,neutral
Mau nyaingin sound horeg lu cen?,neutral
Kampanye gae sound horeg. Heleh males.,negative
Yang wajib dibasmi 1. Pecinta sound horeg 2. Pengantar jenazah ugal 3. Pasukan SHareloc Tak parani,negative
Mukanya muka muka pintar bukan jamet penyevonk fufufafa sama pengokop sound horeg ini mah,negative
aku ngundang sound horeg + psht tp gpake biduan gt. gpp?,neutral
Gw like sound horeg bukan berarti suka sound horeg,neutral
Mau masang sound horeg ya mas?,neutral
Tambahin keshi day 1 gue mau mati berdiri 2 jam lebih before show krn delay trs soundnya horeg Kek mecim horeg but pas keshi beneram sound horeg pollll sangat gue masih sebel trs SC sessionnya jadi pendek sangat OH sama OOR MAHAL sangat TIKETNYA HHHH,negative
Lagi santai santai enak di idm nemu org tua random buka hp nonton video volumenya kayak sound horeg,negative
kejebak macet dengan sound horeg menggema.  mhbLaTsvI,negative
Next budaya sound horeg masuk sana juga dong. wkwk,negative
kayaknya bener dah langit jatim bingung mau nurunin hujan dimana soalnya pada kena sound horeg,negative
kamu tidak pengen nikahan pake sound horeg?,neutral
Mirip orang orang jatim sound horeg.,neutral
Perempatan Metatu Benjeng Macet Parah Akibat Sound Horeg Warga Pertanyakan Kinerja Polisi  jUSjteUA jUSjteUA,negative
dzolim kalian sama org org sekitar Yg punya kuping bkn cuma elo doang ya anjir Siapapun yg nyetel sound horeg dket sini pakyuuuu,negative
BERSYUKUR sangat desa gw terpisah sama desa sebelah oleh sungai bayangin jam segini terik panas malah nyetel sound horeg sampe bikin dada geter Rumah gw yg udh terpisah kebun dan sungai aja kedenger jelas apalagi klo di samping pas,negative
klarifikasi terkait sound horeg yang viral akhir - akhir ini  KsFDlYXNO,neutral
bwajindul tbtb random bayangke sok nek bojoku nyidam sound horeg pieee,neutral
lagi di rumah (desa) dan tetangga nikahan pake sound horeg sampe ayamnya teriak teriak mulu alamat sampe malem,negative
Sound system Horeg Nyalain depan rumahnya biar mampus,neutral
Makin rame kanan kiri anjay wkwk kamu sewa sound horeg aja biar bisa apateu se rt nder,neutral
Samping omah acara kampanye hiburane sound horeg horegne sangu,negative
nder km sewa sound horeg trs suruh setel dpn rumah dia,neutral
mending pake sound horeg sekalian biar anaknya ikutan nyanyi apateu apateu,neutral
Panggung kaya mau festival sound horeg,neutral
Semoga suatu saat nanti sound horeg lu juga kena karma @ mecima,negative
mugo seng nyiptakno sound horeg urip sak mati e tidak tenang,negative
Konoha cocoknya bikin konser sound horeg aja,neutral
bis spek sound horeg ajg gabisa tidur,negative
Gw emang setuju kalo hobi dan kesenangan tiap orang tuh beda beda. Tp ngge kon penyuka sound horeg. raimuu annoying suu! Hobimu nggarai polusi suara! Sampe enek kata kata hobiku tidak mengganggumu biarkan aku bersenang bersenang dengan caraku . Tk prok cengelmu!,negative
wah kalo denger sound horeg gendang telinga gua udah pecah si gaes,neutral
Hahahhq kecil amat mending sewa sound horeg ini mah,neutral
Congratulation mornink awali pagi yg indah ini dengan sound horeg jedag jegug sambil berdoa moga trailer/poster si jamet rilis hari ini ‍️‍️,neutral
Ajg itu org kampanye ngapain make sound horeg si anj pengang kuping gue,negative
pkek sound horeg aja lah ribet,neutral
Aku seh bingung sik dinikmati sebelah endi sound horeg kui,neutral
pagi pagi sound horeg itu udh nyala benci bangetttt,negative
nun AU baba roti yang dulu tuh udah dihapus ya? aku kangen liat utun nen pgn baca lagi,neutral
Ini masih pagi yaaaa anj acaranya kan malem kenapa dah di setel aja itu sound horeg anj,neutral
mungkin jatim tidak di kek i udan gara gara akeh sound horeg utowo komunitas sharelok tak parani dan geng motor icikiwir dadi udan e di pending wkwkwkwkwk,negative
Ini yg ditiru sama jamet kabupaten pecinta sound horeg dan pesilit,neutral
Koe tahlilan sound e sound horeg wong tahlilan e kumpulan warga PSHT,negative
Betul ke kat indong ada orang kesurupan monyet?ada jadi kang parkir?ada yg joget ngemiss gift?ada anak punk busuk tak mandi main vespa extrame?betul ke jawirr indongg main sound horeg?betul ke orang cakap rakyat indong 2 juta kerja kat malaysia?betul kan average iq indong 7 7?,neutral
Dua Lipa batal manggung karena panitia tidak nyiapin sound horeg kah?,neutral
kok isoto cah cah seneng sound horeg kupinge pora pecah,neutral
Gue liat berita bro bukan sound horeg nya doang. maksud gue speaker. Klo model toa nya banyak gitu di mesjid si yg lo tegor mesjid nya dong bukan adzan nya.,positive
Itu kan kesimpulan antum sendiri ukht. Org mo nglakuin yg bid'ah halal atw bahkan haram tidak ada hak ane buat ngelarang. Nahini antum kelewat pede menyimpulkan rasulullah pasti akan pake mikrofon. Antum pikir rasulullah sotoy juga kek sound horeg yg tidak peduli lingkungan sekitar?,negative
Dua Lipa bukan biduan sound horeg anying,neutral
REAL SOUND HOREG PADA ERANYA  pSxyuoWkz,neutral
Emangnya antum pake hp untuk liat apa aja yang bermanfaat? Manfaatnya antum liat sound horeg di hp itu apa ukht? Antum tadi bilang amplifier nya yg 2 2 biji sekarang antum bilang speakernya yg 2 2 biji. Yg betul yg mana?  gLpCCPLTY,neutral
Daerahku tidak enek sound horeg tapi hama sendekar,neutral
Masih gabisa lupa salah satu komen di youtube yang bilang Ororon orang indonesia ultinya based on sound horeg,neutral
Kaya nya lo asal ngomong doang ya basic nya lo aja tidak tau sound horeg tu apa kaya gimana bentuk nya? Makanya jangan asal ngomong riset dulu survey dulu. dasar lo.,positive
Punya tv tidak? Hp di pake utk liat apa aja bermanfaat tidak? Bisa kan liat berita di hp?. saya tidak pernah liat si untung nya di kota saya tidak ada sound horeg saya cuma liat di berita itu 1 truk sound horeg spiker gede nya ada 1 1 atau 2 2 biji. ya beda efek lah klo jumlah sound nya beda jauh.,positive
junmy suaranya udah bagus banget tp sound system mcm kayak sound horeg  pzHAbZ p pzHAbZyi,neutral
loh siapa yg membenarkan perusakan? saya cuma blg fakta di lapangan yg mungkin sampean baru tau kalo diganti rugi. perlu tak luruskan tweet saya di atas tidak bilang sound horeg adalah budaya jawa saya cuma ngasih tau kalo karnaval bukan hanya sound tapi ada drama kolosal jawa juga,positive
Jadinya yg bener pencetus sound horeg tuh Jatim apa prindapan,neutral
Sound horeg tuh hiburan orang kaya. Ya 1 1 1 1 sama di diskotek. Dulu orang kaya saja yg ke diskotek ke rumah musik jedag jedug. Sekarang orang kebanyakan bisa nikmati jedag jedug lewat sound horeg,neutral
Owalah iyaya itu ternyata joget jogetnya sound horeg,neutral
Pflis les mnyetir truk sj dik trs angkut sound horeg itu,neutral
Halah. mana . hasto adem adem aja,neutral
Stef udah 2 kali denger chipmunk pake sound horeg sekali di hitc sekali di joyland,neutral
Sy ijin menghadiri perhelatan sound horeg,neutral
AWKWKWK sudah saatnya kta setel pake sound horeg kak diasrama,neutral
AWKWKKWK KAK itu lejen sangat nanti aku setel pake sound horeg,neutral
Akhirnya jalan sore trus mampir ke nasgor RT tetangga yang enak banget (sama aja dong) lagi nunggu dengerin manusia bangke nyetel pake sound horeg. Wah kalau di RT gue gini udah gue maki maki,neutral
kakean sound horeg udan ae sampek wegah dancok,negative
Di jatim bisa kena natural selection berupa sound horeg kapan itu ada anak 9 tahun cardiac arrest,negative
Harus dipaksa dengerin typical story 1 1 kali pake sound horeg. tidak heran,neutral
Kutukan sound horeg,neutral
Maap ane belum familiar dengan sound horeg jadi tidak tau bedanya? Sound horeg ada berapa biji tiap RT ukht? Lewat nya 1 1 kali juga setiap hari? Ya nanti kalo fenomena sound horeg udah jadi terbiasa antum bakalan friendly juga sama sound horeg mungkin ukht. Insyaallah,positive
Bayangno warga psht tahlilan ngangge sound horeg,neutral
Sound horeg x pesilat KOMBO MAUT!!,neutral
Baru tau sound horeg udh smpe prindapan,neutral
average jatim days alias di rumahku yg satunya jg tiap hari tetangga depan rumah nyetel sound horeg sampe kaca bergetar,negative
Anjir itu sound horeg klo ada di rumah gua disiram kali anjrit sama bokap gue wkwkwk tidak guna sangat nyett,negative
sdmnya di kubur dalem tanah udh bukan rendah lagi iq nya di bawah telapak kaki buat lo pecinta sound horeg lo anjing!!!,negative
anjir lewat berbah da mobil sound horeg stress,negative
indonesia yg gua liat liat makin ke india-indiaan Udahnya sound horeg sekarang salto salto tidak jelas,negative
Join jdi penari sound horeg yaa,neutral
Kenapa sih suka banget ngikutin trend di India??? Dari Sound Horeg wali-walian dan sekarang salto di ruang publik.,neutral
