text,label
@kentangsaladd ini nge dj nya gk pake sound horeg kan,netral
@AndyHuskyyy OH JADI MAKSUD KAMU PENYELENGGARA SOUND HOREG ITU NGERUSAK FASILITAS UMUM? SHERLOC TAK SUSONI ,positif
@Depokalypse Gw lagi mikir set besok rnb sedih ciuman atau berisik ala ala maxstep sound horeg,netral
tapi jujur lagu indo jaman dulu tuh enak2 njir ikonik semua huuu jadi kangen karaokean bareng tetangga pake sound horeg wkwk,positif
Makanya kita harus pakai sound horeg untuk buat orang-orang ini terbiasa dengan adzan masjid,positif
@islah_bahrawi Ikutan trend sound horeg... Menggelegar dan bikin rusak sekampung,positif
@dewiirawan13 @jokowi Masih ada alm. Ibu waktu itu semoga Husnul Khatimah dengan Mba Ria ...,netral
Kalau jawa ada sound horeg Jakarta punya :,netral
@sopir_idiot Ini pasti yang bilang aku orang Jyakarta pas ada Sound horeg,netral
Mari kita liat statistik: berapa % aktivis sound horeg yg sholatnya berjamaah di masjid?,netral
@lacheriebon Sorry kak. Jangan salahin islamnya ya. itu cuma dari grup tertentu. Bahkan aku bingung jg sm mereka. Aslinya gerudug sahur mesjid pake toa kenceng2 selain adzan itu ya ga perlu ga ada kewajiban gitu. Ada kok masjid yg bagus tenang itu mrk org2 yg suka sound horeg,netral
@TeddGus Banteng takut kalah makanya BERISIK macem sound horeg sj klian https://t.co/7Hy3HFUxnv,netral
Ini alasan kita ketolak workdol dia nyarinya pekerja dengan mimpi dan cita cita yg serius bukan biduan sound horeg. Pham? ,netral
@BeatitudeFair request diucapin pake sound horeg dan makan siang gratis yah,netral
Legend sih ini Jadi keingat tetangga gue yg tiap hari karokean segede sound horeg playlistnya tuh mostly dangdut terus ini doang lagu pop yang nyempil,positif
@JubeBellingham @Anak__Ogi @BocorAlusPol Gue udah enek BP .. dia emang pengkhianat yg bikin ganjar KO,netral
@arjanisu @AirinDatangLagi Udah ndhak percaya BP bau2 mulyono nih orang pengkhianat ganjar,netral
@Anak__Ogi Ngga percaya pacul lagi... bau2 mulyono,netral
@WagimanDeep212_ Ga percoyo lah.. wong kemarin2 aja ga mau jadi timses kok... alesan sibuk di dpr..,netral
@demokrasi_ruwet @ahmad_bellamy @AndikaPerkasa02 @hendrarprihadi @PDI_Perjuangan @AirinDatangLagi @4Y4NKZ @__AnakKolong @ariestarico2 @AntoniusCDN @antartika9821 @Anak__Ogi @b4yuw @Cintada16 BP bukan timses andika,netral
@ahmad_bellamy @AndikaPerkasa02 @hendrarprihadi @PDI_Perjuangan @AirinDatangLagi @4Y4NKZ @__AnakKolong @ariestarico2 @AntoniusCDN @antartika9821 @Anak__Ogi @b4yuw @Cintada16 All gimana disuruh jadi timsesnya aja ngga mau kok... katanya sibuk di DPR tapi malah main ke Solo jadi jurkam sebelah,netral
@pickertolol @NuBraveIN @NvirWorld tinggal nganggo sound horeg ikih nyusul mas gung ,positif
@Jateng_Twit Andika Hendi donksss,netral
@brayenmey Infokan sound horeg terdekat buat gw bakar,negatif
Tapi 5x sehari ke musholla omahku pas mburine langgar. Speaker e madep pas nek kamarku duorrrrrrrr jan mben adzan rasane koyok sound horeg. Bledos nek kuping trus sadar ganti klambi wudhu budal nyang langgar.,negatif
@stroeberi @rollersk8erboi bukan double standard blok lo cenblu tapi tolol beda konsep yg di qrt ini emg konsep restonya ga pake baju dan yg dteng kesitu pasti dah tau konsekuensi nya lah yg di jatinagor?? emg cust tau mereka masak ga pake baju? jgn tolol,netral
@Ade68653898 @SuperSaiyanBri @rollersk8erboi goblok tolol kalo namnya konsep yg dateng kesitu emg udah tau dampak dari itu lah ini?? emg customer tau kalo mereka masak sambil ga pake baju gt?,netral
@mlbbfess pgn ambil benet tpi gabisa makenya ,netral
@wavefr0mheaven @juykuz ini beneran kah??? kocak bgt jir,netral
akhirnya saya jadi sarjana sound system horeg ato kalo kata temen2 gw jd tukang servis ac soalnya klo ac mulai bunyi panggil mas audio engineer buat benerin https://t.co/G7jydZDEZn,netral
Mas Dhito Janjikan Regulasi untuk Kegiatan Battle Sound Horeg di Kediri https://t.co/j2sSuUGJxM,netral
@kimshincan @Jateng_Twit Ojo di enggo gowo sound horeg,netral
@stewpidcat__ Gak ngejar paling km diikat trus dipaksa denger WaE kUrA cHi MoLlA aAeAaAa pake sound horeg,netral
@merapi_uncover Gak beda jauh sama fenomena sound horeg. Sama-sama sampah ,negatif
Di kanal Youtube banyak streaming instrumen bermacam alat musik yang memanjakan telinga kok ya ada yang milih menikmati sound horeg,negatif
Berusaha memahami: Kenapa ada orang² yg suka sama sound horeg sama knalpot brong musik² DJ yg berisik petasan besar dan mereka yg se-olah² ingin menjadi yang paling keras: Mungkin mungkin ya karena mereka sebenarnya selama ini hanya ingin bersuara ketika ditekan sejak,positif
Tadi nemu tweet blg bayi nangis semaleman ortunya gak nenangin jadi sendernya pasang sound kenceng buat ngebales. Terus reply2nya nyuruh pasang sound horeg sekalian. Mereka gatau ya bayi itu dipakein baju aja bisa nangis dan ditenangin jg blm tentu lgsg diem? Smh,negatif
@Amartya_Seen Narasi asli video: Tanya: tau gak kemaren City kalah? Jawab: ha? Kagak. Taunya liverpool menang T: iya kalah lawan Brighton tim yg liverpool kalahin sebelumnya J: wayahe joget2 sound horeg,netral
@Boediantar4 Aliran sound horeg nih?,netral
@jagatdraya yoii kalah sound horeg,netral
Info sound horeg terdekat Test Mocap video Mayan mulus tinggal bersihin dikit wkwkkw https://t.co/5KWE5N5weK,positif
@MS_NOBODY_REAL Kira kira SOUND HOREG ada yang berani ngebacok gak ya wkwkw,netral
@jackaeryz @ngeemtot BERANI BGT ANJING WKWKKWWKWK ,netral
@tesfayeeabell @Arayooniverse @ngeemtot @aimr0d ANJINGGG AWOKAWOKQOWK,netral
@onneoctavia sad :( kene daerah barat hujan masih bress terus 10 menit terang tp wes lumayan emang jatim kayak e masih kenek azab sound horeg :(,netral
@puwwlen Sound horeg punya biduan?,netral
Kru musik horeg berdebat dengan warga tdk mau mengecilkan suara volume Sound horeg pada saat azan https://t.co/urTzDCkkjb,netral
Kok qrt pada marah2?? Meninggal loh cok lo gak pernah berduka kah? Buset dah orang bilang wajar nangis malah lo plitir sana sini kalo gendernya dibalik kalo udah mantan harusnya gk nangis kalo lo pada aja yg mati gimana su? Mati gih gw sewain sound horeg,netral
Oh begini rasanya jadi warga yang rumahnya dilewatin sama sound horeg dan rumahnya sampe geter wkwkwkw,positif
fyp tiktod gw isinya biduan sound horeg mulu udah saatnya gw daftar.,netral
Normalize sound horeg menyuarakan adzan salawat nabi dan anak-anak/ibu-ibu mengaji di daerah-daerah yang sedikit masjidnya. Supaya kecintaan pada Islam makin bertumbuh ️,positif
hipokrit momentos ak di twt plg banter nolak sound horeg irl malah ngebantu jualin tiket sound horeg ,positif
@PopPanda007 Suruh manggung di pantura aja tuh panggung auto full besi+kuat tambahan sound horeg jangan lupa bakal meledak konser nya,positif
@tanyarlfes Yay lah sambil bawa sound horeg,positif
@tanyarlfes tambah sound horeg diblakang nder,netral
setelah sekian lama tidak menghadapi orang tua wanyik ndredeg e koyok sound horeg,netral
Lagi tidur siang enak enak malah ada suara sound system horeg bgst mana kasur gua sampe geter lagi,negatif
@mofroe masih aja itu sound horeg wkwk,netral
