text,label
@glttk0000 gue ga pernah baik abang bukan bosen lagi ntuu GUE JUGA LARI KALO ABANG BAWA SOUND HOREG BAAAANGGG PEGIMANE SIII ,negatif
@uarmyontwt @cingreborn ga ka kasian mata elang gitu bagusnya dan mereka emg uda pro itu salah dari pk nya budget buat sound horeg,negatif
@cingreborn kaya panggung sound horeg ni pk entertaiment kocag buat malu aja kasian noh vendor banyak yg nyalahin,negatif
@ARSIPAJA pesan nya aturan bubarin itu sound horeg,negatif
rumah gue ujan deres baaaannnnggggeeetttt+ sound horeg + mati listrik bangsat https://t.co/sc13LnaAfm,negatif
Nyeneni adek e kyk ngalah2ne sound horeg Tonggone yo di pikir neg bos..cuak,negatif
@TamiVerina19 @anwarzafran27 @tabloidbobo @fotodakwah @Tita83079013 Itu kan kesimpulan antum sendiri ukht. Org mo nglakuin yg bid'ah halal atw bahkan haram ga ada hak ane buat ngelarang. Nahini antum kelewat pede menyimpulkan rasulullah pasti akan pake mikrofon. Antum pikir rasulullah sotoy juga kek sound horeg yg ga peduli lingkungan sekitar?,negatif
Dua Lipa bukan biduan sound horeg anying,negatif
@TamiVerina19 @lottiepie_store @fotodakwah @Tita83079013 Emangnya antum pake hp untuk liat apa aja yang bermanfaat? Manfaatnya antum liat sound horeg di hp itu apa ukht? Antum tadi bilang amplifier nya yg 20 biji sekarang antum bilang speakernya yg 20biji. Yg betul yg mana? https://t.co/gLpCCPLT5Y,negatif
junmy suaranya udah bagus banget tp sound system mcm kayak sound horeg https://t.co/p1zHAbZ6yi,negatif
Ternyata aku amat sangat tidak cocok dengan sound horeg,negatif
Sumpah smpe saiki aku gakro lapoo sound horeg sampe isok didadino hiburan? Ngerugino tok onk e koco pecah kabeh gaisok lewat mlh pembatas dalan dibredel. Ncen kudu onk peraturan munine *Nyetel horeg =denda 1m+kuping e nak samping sound full volumen 3jam. Ben budek sekalian cok https://t.co/QDsHNuYLN2,negatif
Setiap kali mau bersantai saat weekend disaat itu pula sound horeg selalu menyertai di sekitar lingkungan rumah. Memang lagu/musik bisa mengubah mood seseorang dengan cepat tetapi apakah anda setuju jika sound horeg lebih pantas dikatakan sebagai polusi suara Atau hiburan ?,negatif
@s_y_lus Bikini Bottom jgn pilih Durian Runtuh soalnya konon katanya di sana ada sound horeg,negatif
@rudysirwi suara2 dr toa itu bisa menyembuhkan segala macam penyakit klo sound horeg kan tidak cuma berisik ga ada pengaruhnya ,negatif
@Rizieq_Sangean apa yg kamu harapkan dari manusia2 penyuka sound horeg?? kampungan iya....,negatif
Sound horeg bikin sakit telinga plis,negatif
@jihanacuu @jawafess oh karena dari awal dasar pemikiran sampean yg menganggap sound horeg seolah budaya jawa itu makanya sampean salah paham sampean menganggap seolah saya mengklaim sound horeg budaya jawa. maaf mas saya bukan fans sound horeg jadi yg sampean bilang ga relevan terhadap saya,negatif
@mengayommi @tanyakanrl Siap lawann sound horeg gakkk sehhh ,negatif
@jawafess Lu ketemi sound horeg + pendekar2 silit. Wes dirimu sedang bad day,negatif
@zakiberkata awanya hilang karena kena getaran sound horeg cak,negatif
